名称,经度,纬度,高度
#1,119.9686902,30.36855614,17.27592873
#2,119.968691,30.36816132,17.77492873
#3,119.9686808,30.36775801,17.85392873
#4,119.9686736,30.3673562,17.14292873
#5,119.9686642,30.36693886,17.53192873
#6,119.9686526,30.36655074,17.39492873
#7,119.9686476,30.36620714,17.28392873
#8,119.9686439,30.36575158,17.62492873
#9,119.9686249,30.36522408,17.79692873
#10,119.9686064,30.36468782,17.61192873
#11,119.9686033,30.36428811,17.52692873
#12,119.9685934,30.36392329,17.31892873
#13,119.9685817,30.36342505,17.22892873
#14,119.9685583,30.36304421,17.69192873
#15,119.9685544,30.36255866,17.35692873
#16,119.9685461,30.36214648,17.83392873
#17,119.9685379,30.36175247,17.29592873
#18,119.9685235,30.36136048,17.81192873
#19,119.9684899,30.36099145,17.23792873
#20,119.9684469,30.36063918,17.59892873
#21,119.96841,30.36042532,17.83892873
#22,119.9683179,30.35995237,17.31992873
#23,119.9682271,30.35961492,17.72292873
